RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Saint Louis,MI,Alma,Gratiot,4010,75000,75250,72500,72500,79900,84900,82400,79900,79900,77450,74950,69900,77045.83333,,Coeur d'Alene,292047.7667
Alpena,MI,Alpena,Alpena,2348,89900,84700,82900,88950,89900,89900,89900,92000,96950,94900,90000,82000,89333.33333,,Coffeyville,82212.5
Lachine,MI,Alpena,Alpena,6914,146400,137450,135000,135000,135000,139000,129000,119000,129000,125450,122250,129000,131795.8333,,Coldwater,131537.5
Altoona,PA,Altoona,Blair,1023,70000,75550,77500,79000,84900,79900,84900,85000,84950,83900,79900,77500,80250,,College Station,252985.4167
Amarillo,TX,Amarillo,Potter,142,164700,165270,164900,174950,179000,184950,187250,182000,177950,172000,173450,174950,175114.1667,,Colorado Springs,324856.9118
Canyon,TX,Amarillo,Randall,4735,149900,156200,169900,175000,169900,169900,165000,168450,166000,165830,168450,160000,165377.5,,Columbia,192841.7139
Americus,GA,Americus,Sumter,1993,119500,119000,117450,119900,119000,114900,110000,109950,109500,109500,104950,105000,113220.8333,,Columbus,233358.6277
Ames,IA,Ames,Story,674,259900,255000,269825,251450,245750,252900,255150,259450,274950,269900,279000,275458,262394.4167,,Concord,284965.6493
Town of Amsterdam,NY,Amsterdam,Montgomery,2212,101900,89500,82500,92400,89900,99000,99900,109000,115000,115000,114700,99500,100691.6667,,Connersville,69616.66667
Anchorage,AK,Anchorage,Anchorage,62,314900,319000,319500,324900,322500,325000,320000,315000,315000,314763.5,314838.5,309000,317866.8333,,Cookeville,207796.4375
Knik-Fairview,AK,Anchorage,Matanuska Susitna,3646,250000,259900,259900,261750,254700,255000,249000,241950,248250,249500,249500,240300,251645.8333,,Coos Bay,222797.9167
Lakes,AK,Anchorage,Matanuska Susitna,5703,270000,278900,287450,299900,289500,279000,277750,297900,299800,298000,298850,324900,291829.1667,,Cordele,185295.8333
Meadow Lakes,AK,Anchorage,Matanuska Susitna,4468,219450,215000,219925,215000,209500,215000,215000,219000,229000,226950,224950,220000,219064.5833,,Corinth,146329.1667
Palmer,AK,Anchorage,Matanuska Susitna,1957,299900,299700,299000,283200,284400,283400,284700,284650,289900,275000,277450,275000,286358.3333,,Cornelia,219623.254
Tanaina,AK,Anchorage,Matanuska Susitna,4618,299900,289900,264200,255000,259950,279900,275500,275000,285000,278400,285000,270450,276516.6667,,Corning,103093.6111
Wasilla,AK,Anchorage,Matanuska Susitna,4439,259000,269900,273000,259000,265000,268000,279500,276000,272000,273450,268000,268750,269300,,Corpus Christi,232534.5417
Willow,AK,Anchorage,Matanuska Susitna,6596,159000,175000,185000,175000,175000,169450,179450,179000,172500,179000,170000,160000,173200,,Corsicana,131741.6667
Andrews,TX,Andrews,Andrews,3756,250000,242500,230000,218250,215000,2.00E+05,199400,195500,189000,184900,176000,182000,206879.1667,,Cortland,101729.1667
Angola,IN,Angola,Steuben,2978,,,183000,174400,189700,176900,185900,198000,199900,215000,198500,2.00E+05,192130,,Corvallis,345853.75
Ann Arbor,MI,Ann Arbor,Washtenaw,286,314235,325000,325000,322000,325000,325000,325000,326000,329900,339900,335000,335000,327252.9167,,Coshocton,101050
Chelsea,MI,Ann Arbor,Washtenaw,3487,249900,247000,244950,252450,255000,262500,267450,260900,278310,269950,251695,279000,259925.4167,,Craig,175200
Dexter,MI,Ann Arbor,Washtenaw,3345,309900,310000,325000,336000,336000,334900,337250,349900,350000,355000,350000,339000,336079.1667,,Crawfordsville,117287.5
Pittsfield Township,MI,Ann Arbor,Washtenaw,1527,,,410000,434900,410000,412900,410000,414900,403950,392900,387000,382450,405900,,Crescent City,228406.25
Superior Township,MI,Ann Arbor,Washtenaw,3244,177950,189500,215000,215000,210000,218000,215000,207250,199900,212200,2.00E+05,2.00E+05,204983.3333,,Crestview-Fort Walton Beach-Destin,317307.3712
Whitmore Lake,MI,Ann Arbor,Washtenaw,3890,222400,239900,235000,244950,240000,263750,249000,259900,244900,242000,224950,219700,240537.5,,Crossville,175391.6667
